#Frame      Pop:0    Pop:1    Pop:2    Pop:3    Pop:4    Pop:5    Pop:6    Pop:7    Pop:8    Pop:9
     202    0.950    0.050    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     203    0.951    0.049    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     204    0.951    0.049    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     205    0.951    0.049    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     206    0.951    0.049    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     207    0.952    0.048    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     208    0.952    0.048    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     209    0.952    0.048    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     210    0.952    0.048    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     211    0.953    0.047    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     212    0.953    0.047    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     213    0.953    0.047    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     214    0.953    0.047    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     215    0.953    0.047    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     216    0.954    0.046    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     217    0.954    0.046    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     218    0.954    0.046    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     219    0.954    0.046    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     220    0.955    0.045    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     221    0.955    0.045    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     222    0.955    0.045    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     223    0.955    0.045    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     224    0.955    0.045    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     225    0.956    0.044    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     226    0.956    0.044    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     227    0.956    0.044    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     228    0.956    0.044    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     229    0.956    0.044    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     230    0.957    0.043    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     231    0.957    0.043    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     232    0.957    0.043    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     233    0.957    0.043    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     234    0.957    0.043    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     235    0.957    0.043    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     236    0.958    0.042    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     237    0.958    0.042    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     238    0.958    0.042    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     239    0.958    0.042    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     240    0.958    0.042    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     241    0.959    0.041    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     242    0.959    0.041    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     243    0.959    0.041    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     244    0.959    0.041    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     245    0.959    0.041    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     246    0.959    0.041    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     247    0.960    0.040    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     248    0.960    0.040    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     249    0.960    0.040    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     250    0.960    0.040    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     251    0.960    0.040    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     252    0.960    0.040    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     253    0.960    0.040    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     254    0.961    0.039    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     255    0.961    0.039    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     256    0.961    0.039    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     257    0.961    0.039    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     258    0.961    0.039    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     259    0.961    0.039    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     260    0.962    0.038    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     261    0.962    0.038    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     262    0.962    0.038    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     263    0.962    0.038    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     264    0.962    0.038    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     265    0.962    0.038    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     266    0.962    0.038    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     267    0.963    0.037    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     268    0.963    0.037    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     269    0.963    0.037    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     270    0.963    0.037    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     271    0.963    0.037    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     272    0.963    0.037    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
