#Frame      Pop:0    Pop:1    Pop:2    Pop:3    Pop:4    Pop:5    Pop:6    Pop:7    Pop:8    Pop:9
     190    0.316    0.563    0.000    0.000    0.000    0.000    0.000    0.116    0.005    0.000
     191    0.314    0.565    0.000    0.000    0.000    0.000    0.000    0.115    0.005    0.000
     192    0.312    0.568    0.000    0.000    0.000    0.000    0.000    0.115    0.005    0.000
     193    0.311    0.570    0.000    0.000    0.000    0.000    0.000    0.114    0.005    0.000
     194    0.309    0.572    0.000    0.000    0.000    0.000    0.000    0.113    0.005    0.000
     195    0.308    0.574    0.000    0.000    0.000    0.000    0.000    0.113    0.005    0.000
     196    0.306    0.577    0.000    0.000    0.000    0.000    0.000    0.112    0.005    0.000
     197    0.305    0.579    0.000    0.000    0.000    0.000    0.000    0.112    0.005    0.000
     198    0.303    0.581    0.000    0.000    0.000    0.000    0.000    0.111    0.005    0.000
     199    0.302    0.583    0.000    0.000    0.000    0.000    0.000    0.111    0.005    0.000
     200    0.300    0.585    0.000    0.000    0.000    0.000    0.000    0.110    0.005    0.000
     201    0.299    0.587    0.000    0.000    0.000    0.000    0.000    0.109    0.005    0.000
     202    0.297    0.589    0.000    0.000    0.000    0.000    0.000    0.109    0.005    0.000
     203    0.296    0.591    0.000    0.000    0.000    0.000    0.000    0.108    0.005    0.000
     204    0.294    0.593    0.000    0.000    0.000    0.000    0.000    0.108    0.005    0.000
     205    0.293    0.595    0.000    0.000    0.000    0.000    0.000    0.107    0.005    0.000
     206    0.291    0.597    0.000    0.000    0.000    0.000    0.000    0.107    0.005    0.000
     207    0.290    0.599    0.000    0.000    0.000    0.000    0.000    0.106    0.005    0.000
     208    0.288    0.601    0.000    0.000    0.000    0.000    0.000    0.106    0.005    0.000
     209    0.287    0.603    0.000    0.000    0.000    0.000    0.000    0.105    0.005    0.000
     210    0.286    0.605    0.000    0.000    0.000    0.000    0.000    0.105    0.005    0.000
     211    0.284    0.607    0.000    0.000    0.000    0.000    0.000    0.104    0.005    0.000
     212    0.283    0.608    0.000    0.000    0.000    0.000    0.000    0.104    0.005    0.000
     213    0.282    0.610    0.000    0.000    0.000    0.000    0.000    0.103    0.005    0.000
     214    0.280    0.612    0.000    0.000    0.000    0.000    0.000    0.103    0.005    0.000
     215    0.279    0.614    0.000    0.000    0.000    0.000    0.000    0.102    0.005    0.000
     216    0.278    0.616    0.000    0.000    0.000    0.000    0.000    0.102    0.005    0.000
     217    0.276    0.618    0.000    0.000    0.000    0.000    0.000    0.101    0.005    0.000
     218    0.275    0.619    0.000    0.000    0.000    0.000    0.000    0.101    0.005    0.000
     219    0.274    0.621    0.000    0.000    0.000    0.000    0.000    0.100    0.005    0.000
     220    0.273    0.623    0.000    0.000    0.000    0.000    0.000    0.100    0.005    0.000
     221    0.271    0.624    0.000    0.000    0.000    0.000    0.000    0.100    0.005    0.000
     222    0.270    0.626    0.000    0.000    0.000    0.000    0.000    0.099    0.005    0.000
     223    0.269    0.628    0.000    0.000    0.000    0.000    0.000    0.099    0.004    0.000
     224    0.268    0.629    0.000    0.000    0.000    0.000    0.000    0.098    0.004    0.000
     225    0.267    0.631    0.000    0.000    0.000    0.000    0.000    0.098    0.004    0.000
     226    0.265    0.633    0.000    0.000    0.000    0.000    0.000    0.097    0.004    0.000
     227    0.264    0.634    0.000    0.000    0.000    0.000    0.000    0.097    0.004    0.000
     228    0.263    0.636    0.000    0.000    0.000    0.000    0.000    0.096    0.004    0.000
     229    0.262    0.638    0.000    0.000    0.000    0.000    0.000    0.096    0.004    0.000
     230    0.261    0.639    0.000    0.000    0.000    0.000    0.000    0.096    0.004    0.000
     231    0.260    0.641    0.000    0.000    0.000    0.000    0.000    0.095    0.004    0.000
     232    0.259    0.642    0.000    0.000    0.000    0.000    0.000    0.095    0.004    0.000
